"id"	"item_id"	"reviewer name"	"reviewer twitter"	"rating"	"quality score"	"created at"	"review"
"28"	"675"	"Marshall Kirkpatrick"	"marshallk"	""	"0"	"2009-09-07 17:23:03 UTC"	"Got bought by Seesmic and isn't being updated anymore, right?  Odd that it's still so high on this list."
"29"	"1128"	"Laura Fitton"	"Pistachio"	""	"5"	"2009-09-07 22:00:27 UTC"	"Definitely my new favorite thing. You'd expect an excellent graphical user interface from ThingLabs and they deliver. Features an IM-like interface for DM conversations that I find slightly addictive. The user base explains trending topics as they emerge,"
"30"	"602"	"Michael Mattioli"	"movablemike"	""	"0"	"2009-09-08 04:10:56 UTC"	"Tweetie for the iPhone is a great app.  It's simple,  responsive, and easy to use.  My only complaint is that, unless I'm mistaken, the app doesn't cache data.  This makes it difficult to read tweets in places with no network connectivity -- on a subway, "
"31"	"191"	"Lil' Peekr"	"peekr"	"5"	"1"	"2009-09-09 02:29:21 UTC"	"I love HootSuite, and the new version is awesome, and super-powerful. It's a must-have in your Twitter client toolbox if you have multiple Twitter accounts, or need to schedule tweets. 

The tabbed interface is really helpful because I setup a tab to tr"
"32"	"39"	"Lil' Peekr"	"peekr"	""	"1"	"2009-09-09 03:20:55 UTC"	"Bit.ly is fantastic for shortening URLs, keeping the URLs you shorten in a nice list, and then tracking 'em and giving you lots of bits of juicy data. Bit.ly is quick and easy to use, and definitely one of my faves."
"33"	"602"	"jen consalvo"	"noreaster"	""	"0"	"2009-09-09 16:00:59 UTC"	"I tried multiple iphone apps before finally using Tweetie. I've trashed the others and now use Tweetie for managing multiple Twitter accounts while on the go. The interface keeps it simple and easy. It's one of my most used apps."
"34"	"602"	"Andrew Hyde"	"andrewhyde"	"5"	"2"	"2009-09-09 17:01:26 UTC"	"I purchased it after someone offered to give me the $3 if I didn't like it.

I didn't collect.  Love it, use it daily."
"35"	"602"	"Mike Champion"	"graysky"	"5"	"0"	"2009-09-09 20:30:41 UTC"	"I've used this app on my iPhone since it came out and really like it. The view makes it easy to see my timeline, replies and DMs. "
"36"	"43"	"Mike Champion"	"graysky"	"5"	"2"	"2009-09-09 20:31:48 UTC"	"This has been my go-to way to share songs on Twitter. Makes it simple to tweet a song from their library or from YouTube. I wish the search worked a bit better as it sometimes pulls up wrong results despite my searching for the full song title."
"37"	"39"	"Mike Champion"	"graysky"	"4"	"0"	"2009-09-09 20:32:48 UTC"	"I have mixed feelings about the use of URL-shorteners on Twitter for a variety of reasons, but I've found that I like using bit.ly over the others because of the stats they give you. Nice to see how many people clicked on posts links."
"38"	"602"	"Rod Begbie"	"RodBegbie"	"5"	"0"	"2009-09-11 03:39:00 UTC"	"I switched from Twiterrific to Tweetie when it was released, and though I have poked at other iPhone apps, Tweetie has kept me.  It's perfectly designed for 99% of what I want to do on Twitter."
"39"	"151"	"Albert Willis"	"alwillis"	""	"2"	"2009-09-11 04:29:46 UTC"	"I love playing Foursquare the game; however, the iPhone app is just a little crashy, especially after being installed for a while–it works great on a freshly installed iPhone. The Foursquare dudes are hard at work, so I expect things will continue to impr"
"40"	"983"	"Laura Rippy"	"laurarippy"	""	"0"	"2009-09-16 02:01:06 UTC"	"Fun to watch - really makes you realize that Twitter is everywhere "
"41"	"39"	"Laura Rippy"	"laurarippy"	""	"0"	"2009-09-16 02:02:59 UTC"	"Great concept; easy to use.  "
"42"	"1246"	"Laura Rippy"	"laurarippy"	""	"0"	"2009-09-16 02:06:55 UTC"	"peaceful fun"
"43"	"1149"	"Laura Rippy"	"laurarippy"	""	"0"	"2009-09-16 02:14:27 UTC"	"I really like BingTweets.  The intersection of real time hot topics on twitter with Bing search results is illuminating.  I will admit that it has value for me alone in sports.  For instance some person comes up as a hot topic, and by having the Bing resu"
"44"	"842"	"Rachel Happe"	"rhappe"	""	"0"	"2009-09-16 18:27:35 UTC"	"I like the concept of TwitterGrader a lot (and I really like the website Grader) but I just can't figure out what it judges to be important and my grade fluctuates quite a bit. Confusing to me."
"45"	"602"	"Andrew Sempere"	"tezcatlipoca"	"1"	"0"	"2009-09-17 01:46:49 UTC"	"I love Tweetie, but it suffers from: http://atebits.posterous.com/secure-connection-failed-0 Not atebits' fault, but why not allow a non-SSL fix!"
"46"	"46"	"Anthony Reilly"	"AReilly76"	""	"2"	"2009-09-17 15:01:29 UTC"	"Blu was originally meant to be a demo of Thirteen23's design talent. Overall ""slick"" is the term that comes to mind, with one of the best looking and smoothest interfaces you'll find in a Windows desktop client. There's a fell small things some users migh"
"47"	"53"	"Aimee Giese"	"Greeblemonkey"	""	"0"	"2009-09-17 22:28:13 UTC"	"I don't just say this because I know the developers - I think BrightKite lead the charge for phone apps, their interface is so elegant!"
"48"	"788"	"Aimee Giese"	"Greeblemonkey"	""	"0"	"2009-09-17 22:29:54 UTC"	"I like how clean and simple Twitpic is! Sure, there is some advertising (who else would they support themselves) but you really just get to your photo right away, which is the point!"
"49"	"89"	"Rod Begbie"	"RodBegbie"	""	"0"	"2009-09-17 22:58:20 UTC"	"Helps confirm to me that I do, indeed, swear like ""an Enthusiastic Porn Star"""
"50"	"1294"	"Laura Fitton"	"Pistachio"	""	"0"	"2009-09-18 02:00:38 UTC"	"I am absolutely enchanted by this idea. What an INCREDIBLE way for bakers and other local merchants dealing in baked goods to market. Maybe it's my baker's heart, maybe it's the proven profitability of Twittering foodcarts and the like. What can I say? I "
"51"	"155"	"Laura Rippy"	"laurarippy"	""	"1"	"2009-09-18 15:08:17 UTC"	"It works -- Captures the inequity of following and being followed "
"52"	"191"	"Laura Rippy"	"laurarippy"	""	"0"	"2009-09-18 15:10:30 UTC"	"Great tool for marketeers to manage company presence on Twitter.  Bet they will charge for this soon ... ! "
"53"	"351"	"Laura Fitton"	"Pistachio"	""	"0"	"2009-09-18 15:11:47 UTC"	"Save 'tis site in ye collection 'n ye'll be prepared fer International speak Like a scurvy pirate Day. 'tis a silly day, but life's not worth livin' if ye can't be silly! Also works fer emails, PirateSpace 'n translatin' any block 'o text, like, shout, an"
"54"	"1248"	"Laura Rippy"	"laurarippy"	""	"0"	"2009-09-18 15:13:24 UTC"	"A live hollywood tabloid -- bare bones but unfiltered "
"55"	"675"	"Tracy Lee Carroll"	"StarrGazr"	"5"	"0"	"2009-09-18 17:40:02 UTC"	"I have tried and used more Twitter applications than I can remember and I am always coming back to Twhirl. The thing I love most about Twhirl is how simple and clean it is to use. Everything is right there at the click of a button without taking up my ent"
"56"	"429"	"Tracy Lee Carroll"	"StarrGazr"	"4"	"0"	"2009-09-18 17:50:56 UTC"	"For as many Twitter 3rd party applications I have tried, I would have to say that many of the trial and error testing has been done on my BlackBerries. I've tried them all, some that never even made it out of beta. Let's hope that SocialScope does! By far"
"57"	"602"	"Andrew D. Nystrom"	"adnys"	""	"0"	"2009-09-18 19:27:37 UTC"	"Love Tweetie, one of several Twitter clients I use (I'm constantly testing new ones for potential use in the L.A. Times newsroom).

One complaint (hence 4 stars) is that, with a dozen accounts loaded onto my Mac laptop version, there is often a long del"
"58"	"39"	"Rachel Happe"	"rhappe"	""	"0"	"2009-09-18 21:40:25 UTC"	"I use bit.ly all the time. Why? Integrated in to CoTweet & Seesmic, easy to use from my browser, easy to how much attention my tweets are getting.

One feature request? If I could download my traffic into an excel file or see how much traffic by month m"
"59"	"405"	"Rachel Happe"	"rhappe"	""	"0"	"2009-09-18 21:43:09 UTC"	"Love, love it... or is that Loic's accent and their videos about starting the company?!? Either way, it's all good... and does not bring my old crusty Mac to its knees, which I appreciate."
"60"	"82"	"Rachel Happe"	"rhappe"	""	"0"	"2009-09-18 21:45:17 UTC"	"Excellent workflow tool - allows me to manage multiple accounts (which are managed by multiple people), get alerts, schedule tweets, and add notes to things for follow-up."
"61"	"720"	"Rachel Happe"	"rhappe"	""	"0"	"2009-09-18 21:47:38 UTC"	"Mesmerizing... I could watch this all day. A mix between people watching and poetry... and you never have to leave your computer."
"62"	"848"	"Claire Wadlington"	"wadlington"	""	"0"	"2009-09-19 02:00:54 UTC"	"Twitter Karma offers views of your followers including ALL, Following Only, Followers Only. Since Twitter itself doesn't easily let you look at your whole universe, this is a great way to remember people you haven't noticed in a while, see who followed yo"
"63"	"580"	"David Shen"	"dshen"	""	"0"	"2009-09-19 03:57:27 UTC"	"It's my favorite twitter app on the Mac.  I love the column layout and it allows me to not only track those I follow, but also setup columns for other things like hashtags searches, grouping my follows, and even for tracking those I don't formally follow."
"64"	"39"	"David Shen"	"dshen"	""	"0"	"2009-09-19 03:59:00 UTC"	"As URL shorteners go, bit.ly has scale and will probably be around for a long time.  I also love the tracking abilities which give me insight into how many people click on my shortened links.  Besides, the blowfish is the most awesome mascot ever..."
"65"	"602"	"Alexa Scordato"	"Alexa"	""	"1"	"2009-09-20 19:54:28 UTC"	"Tweetie is hands down my favorite iPhone app.  It has a great UI that lets you navigate between multiple twitter accounts, @ or DM easily, and view trending topics.  The only feature I wish it improved is its search.  Right now when you search a key word "
"66"	"411"	"francine hardaway"	"hardaway"	"5"	"0"	"2009-09-21 20:29:00 UTC"	"I've just started using SimplyTweet on my iPhone and I love the way it send you notices of mentions and the way it displays avatars.  For me, an app has to display multiple accounts, too., and simplytweet does."
"67"	"53"	"francine hardaway"	"hardaway"	""	"3"	"2009-09-21 20:30:29 UTC"	"I can't believe Foursquare caught on so quickly when Brightkite is so much the better app. I guess what it lacks is a social gaming component."
"68"	"602"	"francine hardaway"	"hardaway"	""	"0"	"2009-09-21 20:31:36 UTC"	"Multiple account support and ease of use won me over. And this app is very, very dependable!"
"69"	"353"	"francine hardaway"	"hardaway"	""	"0"	"2009-09-21 20:33:34 UTC"	"Re you kidding me? I was asked by a VC if people would ever use Posterous and I said arrogantly that there were too many blogging platforms out there.  And then Steve Rubel started using it and I tried it. Dead simple. Very flexible. User friendly for the"
"70"	"326"	"francine hardaway"	"hardaway"	""	"0"	"2009-09-21 20:37:39 UTC"	"This is now my desktop app of choice. I run it as a Fluid app on my Macs, and it is a huge aggregator of all my friends -- Twitter, FB, FF -- and my multiple accounts. I feel like I haven't begun to use it to its full potential, too, because I don't reall"
"71"	"82"	"Pixelita Designs"	"pixelitadesigns"	"4"	"0"	"2009-09-22 02:17:34 UTC"	"Co-Tweet is the best for managing multiple Twitter accounts.  Love the scheduled Tweet feature.  You can see your following/follows for each account and follow/unfollow from there. Only thing keeping me from giving 5 stars is you cannot mark Favorites."
"72"	"1206"	"Reed Sturtevant"	"reedsturtevant"	"4"	"0"	"2009-09-22 03:49:55 UTC"	"After the occasional waves of spam followers this is a fast and easy way to clean house."
"73"	"580"	"Michael Brito"	"Britopian"	"5"	"0"	"2009-09-22 03:57:22 UTC"	"By far, the best Twitter app for your computer (mac & pc). The only downfall is that you can post to groups in Facebook but I am sure that feature will come soon!"
"74"	"39"	"Michael Brito"	"Britopian"	"5"	"0"	"2009-09-22 03:59:32 UTC"	"Love bit.ly. It's integrated well with Tweetdeck and there are also some really good metrics associated with it. You can track clicks and there is some demographics reporting as well.

Updated: 1/12/10

Seriously? Who doesn't use Bit.ly? "
"75"	"675"	"Michael Brito"	"Britopian"	"2"	"0"	"2009-09-22 04:01:23 UTC"	"Twhirl is okay,I used it early in my twitter career but have since starting using tweetdeck. Twhirl is definitely a good starter application. "
"76"	"924"	"Michael Brito"	"Britopian"	"4"	"4"	"2009-09-22 04:04:54 UTC"	"ok, i admit that I use this but I am very selective. I do suscribe to my own blog's feed as well as some other industry leading blogs (techcrunch, mashable) and automatically tweet their posts (1 ever 4 hours)..."
"77"	"405"	"Michael Brito"	"Britopian"	"2"	"0"	"2009-09-22 04:06:53 UTC"	"Love the functionality and FB integration.  The multiple, floating columns confuse me and it runs slow on all my machines. "
"78"	"788"	"Michael Brito"	"Britopian"	"5"	"0"	"2009-09-22 04:08:51 UTC"	"twitpic is all that I use to share images across twitter. It's simple and easy. "
"79"	"1086"	"Michael Brito"	"Britopian"	"1"	"0"	"2009-09-22 04:16:55 UTC"	"I did use this when it first launched and added my account. Not sure why, it didn't really benefit me too much and they haven't added any cool features since launch. "
"80"	"646"	"Michael Brito"	"Britopian"	"5"	"0"	"2009-09-22 04:21:26 UTC"	"Love this tool. It allows me to track my usage on twitter and it displays it quite nicely. "
"81"	"82"	"Sooz"	"Sooz"	"4"	"0"	"2009-09-22 04:28:49 UTC"	"Cotweet makes it easy to manage multiple twitter accounts with multiple cohorts. Though it would be great if it had a groups feature to make it easier to follow specific groups of people."
"82"	"732"	"Michael Brito"	"Britopian"	"5"	"0"	"2009-09-22 04:31:17 UTC"	"hands down, one of the best apps in the world.  I have been using this for quite some time and I am very impressed and the logic in the algorithm. It's a great tool to measure the effectiveness and influence out there on the social web. "
"83"	"151"	"Michael Brito"	"Britopian"	"5"	"0"	"2009-09-22 04:36:08 UTC"	"LOVE foursquare! It's great to meet local people, and even better during tweetups..."
"84"	"580"	"Dharmesh Shah"	"dharmesh"	""	"0"	"2009-09-22 04:53:19 UTC"	"Likely the most popular Twitter client for power users -- and for good reason. "
"85"	"339"	"Ben Hughes"	"mustbebenhughes"	"5"	"0"	"2009-09-22 05:27:55 UTC"	"I absolutely LOVE Ping.FM. I'm able to update the status' of many of my social networking profiles from one SMS or MMS message, and that makes this web-guy quite happy!"
"86"	"429"	"Ben Hughes"	"mustbebenhughes"	""	"0"	"2009-09-22 05:31:34 UTC"	"SocialScope not only makes my use of Twitter REALLY easy on my phone, but it also incorporates Facebook, which is a rarity on BlackBerry Twitter apps.
Plus, not only did I start using SocialScope right after UberTwitter started acting incredibly erractic"
"87"	"1110"	"Ben Hughes"	"mustbebenhughes"	"5"	"1"	"2009-09-22 05:37:39 UTC"	"THIS. IS. THE. BEST. APP/ADD-ON. EVER.
And I don't say that casually.
Seriously though, this has got to be the best thing I've ever downloaded and installed. It manages almost all of my key networks and does it with style."
"88"	"580"	"Jennifer Leggio"	"mediaphyter"	"4"	"0"	"2009-09-22 05:56:16 UTC"	"I'm a big fan of TweetDeck. I went back and forth between this and Seesmic Desktop for a while, and after the initial shininess of Seesmic wore off I fell for the usability of TweetDeck. It does have some quirks -- the new version, 3.0.1, makes me start t"
"89"	"82"	"Jennifer Leggio"	"mediaphyter"	"4"	"0"	"2009-09-22 06:01:29 UTC"	"Co-Tweet makes managing multiple Twitter accounts so easy, especially if you have multiple admins. There options for assigning Tweets for follow up and managing the workflow of said tweets are great. I like how the communications are streamlined and you g"
"90"	"191"	"Jennifer Leggio"	"mediaphyter"	"2"	"0"	"2009-09-22 06:11:40 UTC"	"I was a huge fan of Hootsuite before the upgrade. It was previously very easy to use with a very well designed dashboard with selection for multiple accounts. The new layout, which requires that users create different toolbars for different accounts is no"
"91"	"903"	"Jennifer Leggio"	"mediaphyter"	"4"	"0"	"2009-09-22 06:14:54 UTC"	"The usability of TwitterBerry is great. It's a simple interface and allows me to do most everything I need to do via Twitter. I find it easy to read and manage tweets and respond as well. Sometimes, however, trying to block or follow causes errors and the"
"92"	"646"	"Jennifer Leggio"	"mediaphyter"	"5"	"0"	"2009-09-22 06:24:02 UTC"	"TweetStats is great for watching my own personal Twitter trends as well as the ones of my company. The display is easy to read. It also shows me -- in a much more reliable way than services such as Klout -- who most influences me by showing which people I"
"93"	"842"	"Jennifer Leggio"	"mediaphyter"	"4"	"0"	"2009-09-22 06:25:53 UTC"	"I really like Twitter Grader, however like Rachel above, I have a hard time figuring out what causes my or my company's score to vary so greatly from day to day and hour to hour. I know that it has something to do with engagement, which is great for both "
"94"	"155"	"Jennifer Leggio"	"mediaphyter"	"4"	"1"	"2009-09-22 06:27:52 UTC"	"Friend or Follow is a fun application. It's an easy way of figuring out who you are following versus who is following you, and vice versa. I only wish that it was easier to add or remove people from the site itself versus clicking through to Twitter. Simi"
"95"	"1123"	"Jennifer Leggio"	"mediaphyter"	"4"	"0"	"2009-09-22 06:29:54 UTC"	"Favstar is pretty easy to use. It might seem like a vain tool but really it's a good way of seeing if your content is being well received and also what other really popular content is out there. Since Twitter trends have been overwhelmed by spammers it's "
"96"	"788"	"Jennifer Leggio"	"mediaphyter"	"4"	"0"	"2009-09-22 06:32:47 UTC"	"TwitPic is so easy to use both from the Web and a smart phone, and I like how it keeps an archive of both comments and pictures."
"97"	"43"	"Jennifer Leggio"	"mediaphyter"	"4"	"2"	"2009-09-22 06:34:59 UTC"	"I love Blip.fm alone as a service, as well as how it integrates with Twitter and allows me to share music. Much like what graysky says, I wish that the search was better refined, especially in showing invalid music clips. This is a great service and it do"
"98"	"151"	"Jennifer Leggio"	"mediaphyter"	"4"	"0"	"2009-09-22 06:41:15 UTC"	"I am a big fan of Foursquare but I have written about concerns I have with it -- people checking in from places they aren't at, a need for more privacy, overlap of check-ins, etc. Overall I think it will be a great application if it make itself available "
"99"	"1206"	"Jennifer Leggio"	"mediaphyter"	"1"	"0"	"2009-09-22 06:43:25 UTC"	"Not very reliable. The few times I have tried it, it marks a large amount of non-spammers as spam, and misses a lot of spammers. It needs to change how it is qualifying spammers. Good in theory, lacking in practice."
"100"	"1070"	"Jennifer Leggio"	"mediaphyter"	"5"	"0"	"2009-09-22 06:44:53 UTC"	"I really like this application. I've seen no issues with it yet. It allows me to see how many people I am following who don't use Twitter anymore so I can clean up my followers and better manage my streams. And because it connects with Twitter I can easil"
"101"	"1065"	"Rodney Rumford"	"Rumford"	"5"	"0"	"2009-09-22 10:38:54 UTC"	"Here is what I can tell you: It is the most robust app for blackberry. Period. Full integration with Tweetphoto for photo sharing, voting, etc. Intuitive, EZ to use and really robust. get it!"
"102"	"94"	"Rodney Rumford"	"Rumford"	"4"	"0"	"2009-09-22 11:00:57 UTC"	"If you are looking for a lightweight desktop twitter app this works great. Very streamlined and lightweight adobe air app that has photo sharing and more built in."
"103"	"39"	"Claire Wadlington"	"wadlington"	"5"	"0"	"2009-09-22 11:16:55 UTC"	"It was other oneforty reviewers that tipped me off to some of the features of Bit.ly . I used to use TinyURL to shorten links, then realized that Bit.ly has tracking tools. Fun to see what grabs attention and what doesn't."
"104"	"101"	"Claire Wadlington"	"wadlington"	""	"0"	"2009-09-22 11:19:46 UTC"	"A really simple app, but easy way to check if a single person is following someone specific (you?) Or if you are a relationship sleuth, can check out whether others are following someone specific."
"105"	"429"	"John Prendergast"	"johnprendergast"	"4"	"0"	"2009-09-22 12:53:47 UTC"	"Great Twitter/Facebook client for the Blackberry. For me, the refresh seems much faster than Twitterberry (which is also good) and the tabbed interface makes separating your streams a snap.

Very nicely done.
"
"106"	"1133"	"Jeff Bennett"	"jeffbennett"	"5"	"0"	"2009-09-22 13:07:55 UTC"	"I have been using several Twitter Apps on my iPhone.  I found BirdFeed on OneForty..and tried it.  I find it the best iPhone app for Twitter right now.  "
"107"	"407"	"Jeff Bennett"	"jeffbennett"	"5"	"1"	"2009-09-22 13:10:29 UTC"	"I added the ""Share This"" app to my blog and it has really help me syndicate and expand my audience.  Very easy to use.  Comprehensive in the social web services that it has integrated.  I really like it.  Thanks Oneforty for introducing it to me."
"108"	"842"	"Jeff Bennett"	"jeffbennett"	"4"	"0"	"2009-09-22 13:14:57 UTC"	"Twitter Grader is a really cool app from HubSpot.  It rates your use of Twitter.  Charts your followers.  Gives you a feel for how your activity is viewed on Twitter.  Cool app.  I also use it's sister app WebSiteGrader for my blog and all other sites I a"
"109"	"580"	"Jeff Bennett"	"jeffbennett"	"4"	"0"	"2009-09-22 13:16:46 UTC"	"I have really enjoyed using TweetDeck.  It expands my view into the Twitter ecosystem in a rather large way.  I track my tweets.  I can easily track my followers, companies.  I can easily search.  Very powerful.  I use TweetDeck mostly on my Mac...though "
"110"	"429"	"Jeff Namnum"	"namnum"	"4"	"0"	"2009-09-22 13:57:18 UTC"	"Tabs, tabs, tabs. The tabbed interface on this app is absolutely fantastic. The ability to create groups of friends allows me to scan my stream much quicker, just like Seesmic or Tweetdeck on the desktop and this along with Facebook integration to me is a"
"111"	"170"	"Elena Benito Ruiz"	"ElenaBRZ"	""	"0"	"2009-09-22 14:43:38 UTC"	"I own a Nokia 5800 XM and after trying several buggy apps I bought Gravity (9€) and couldn't be happier. It's definitely the best twitter client for S60 phones.
I remember buying it just right after launch. It was robust and nice: I think it's the only a"
"112"	"39"	"Sean Corbett"	"stcorbett"	""	"1"	"2009-09-22 16:37:18 UTC"	"This is the URL shortener that I always remember!  I'm not sure why it sticks out more than TinyURL or other options.  Works like a charm."
"113"	"151"	"Sean Corbett"	"stcorbett"	""	"2"	"2009-09-22 16:40:47 UTC"	"Fun app.  Especially on android."
"114"	"695"	"Sean Corbett"	"stcorbett"	""	"1"	"2009-09-22 16:46:40 UTC"	"Great app.  The free version has really improved over the past year to be a full featured twitter client for Android.  Don't waste text messages with your twitter feed, use this app!  Check out the pro version for multi-account support, a desktop widget, "
"115"	"580"	"David Zakur"	"dzakur"	"4"	"0"	"2009-09-22 17:28:55 UTC"	"Tweetdeck takes Twitter (and more) to the next level by allowing multiple account management, search filtering, lots of UI configurability, and sync between multiple machines and the iPhone.

It's a really powerful tool, and gets easier to use with each"
"116"	"82"	"David Zakur"	"dzakur"	"3"	"0"	"2009-09-22 17:31:26 UTC"	"So my uses for CoTweet aren't that large yet, as I'm not truly tracking ""intra-Twitter communication"", but I went ahead and set myself up anyhow just to get a feel for it.

Super easy to setup and navigate, and I can truly see it's power and benefit.  I"
"117"	"39"	"David Zakur"	"dzakur"	"5"	"0"	"2009-09-22 17:32:49 UTC"	"I mean, how much can you actually say about a URL shortner?  bit.ly is the industry go to though, so who am I to judge?  It gets the job done, it's always available, and has a few neat add'l features to make the job easier."
"118"	"1086"	"David Zakur"	"dzakur"	"3"	"0"	"2009-09-22 17:35:11 UTC"	"WeFollow has a huge oppty available to it, as anyone who has tried a person search on Twitter will attest.  If it can find a way to bridge all of the 'socialsphere' together, it could be the defacto FAST.

I added myself and another 'business' account a"
"119"	"842"	"David Zakur"	"dzakur"	"3"	"0"	"2009-09-22 17:39:01 UTC"	"Great app to make you understand how you affect (or don't) the Twittershpere.  Lots of good preliminary data, but the real power in how this tool could be used is if it were to give 'power boost' recommendations or something to that effect - IE - here's w"
"120"	"323"	"David Zakur"	"dzakur"	"5"	"1"	"2009-09-22 17:47:46 UTC"	"Surprisingly worthwhile.

Allows you to see people's full on picture wallpaper.

Check out @AnnCurry's to see why it's helpful."
"121"	"82"	"Kristy Bolsinger"	"kristy"	"5"	"2"	"2009-09-22 18:47:21 UTC"	"I love this app for scheduling tweets on my biz account.  Makes it extremely to hand over the wheel while I am on vacation while not confusing the followers on who's driving the ship.  Really great application for anyone who uses Twitter to run a business"
"122"	"788"	"Kristy Bolsinger"	"kristy"	"5"	"0"	"2009-09-22 18:48:23 UTC"	"TwitPic is extremely easy to use.  I love it's integration with Tweetie as well.  My favorite feature is being able to see the views on any given picture!!"
